"ID","Square","Quad","Context","Spit","Bag","Raw Material","Typology","Type","Weight","Scar number","Number  of rotations","Core cortex","Core cortex type","Form last removal","Length last removal","Width last removal","Core Technology","Core length","Core width","Core thickness","Residues","Photograph Number","Illustration Number","Comments","GM","logGM","PC1","PC2","Shape_length","Shape_width","Shape_thick","GM2"
21517,"S6","NE","6-8","1",NA,"CCS (grey)","Core (Bipolar)","Bipolar",23.35,16,NA,"1","Smooth tabular","indeterminate",NA,NA,NA,36.81,23.76,19.45,NA,NA,NA,NA,25.7184003844133,3.24720670398328,0.0536897402737308,0.118964474761549,0.358562843407654,-0.079203209488832,-0.279359633918821,25.7184003844133
21528,"S6","NE","6-8","1",NA,"CCS (grey)","Core (Multidirectional)","Freehand",30.72,9,NA,"0",NA,"indeterminate",NA,NA,NA,40.97,26.96,20.36,NA,NA,NA,NA,28.2263382653254,3.34025552309507,0.00157387351876962,0.0901703969212014,0.37258456846371,-0.0459012370509632,-0.326683331412748,28.2263382653253
21537,"S6","NE","6-8","1",NA,"CCS (jasper)","Core (Bipolar)","Bipolar",8.68,9,NA,"0",NA,"indeterminate",NA,NA,NA,22.19,17.69,13.22,NA,NA,NA,NA,17.3129947273204,2.85145735984658,0.105406155942375,-0.0215746375012934,0.248184377097923,0.0215421483251149,-0.269726525423039,17.3129947273204
21596,"S6","NE","6-8","1",NA,"CCS (grey)","Core (Bipolar)","Bipolar",3.13,6,NA,"0",NA,"indeterminate",NA,NA,NA,21.52,14.94,8.19,NA,NA,NA,NA,13.8088948326841,2.62531293762108,-0.21896742011319,-0.0110819731076425,0.443669797672506,0.0787292420835934,-0.5223990397561,13.808894832684
21640,"S6","NE","6-8","1",NA,"CCS (olive)","Core (Bipolar)","Bipolar",17.58,16,NA,"1","River rolled","indeterminate",NA,NA,NA,36.04,19.28,14.99,NA,NA,NA,NA,21.8389195393694,3.08369367801235,-0.0965272045204934,0.214711715880156,0.500935754727789,-0.124625388829948,-0.376310365897842,21.8389195393694
21641,"S6","NE","6-8","1",NA,"CCS (grey)","Core (Multidirectional)","Freehand",17.09,6,NA,"1","Rough","indeterminate",NA,NA,NA,34,24.4,22.16,NA,NA,NA,NA,26.3924373807824,3.2730775062648,0.19725426091368,0.0814322982054713,0.253283018351361,-0.0784943739656439,-0.174788644385717,26.3924373807824
21642,"S6","NE","6-8","1",NA,"CCS (grey/white)","Core (Bipolar)","Bipolar",6.18,9,NA,"0",NA,"indeterminate",NA,NA,NA,20.89,16.41,12.88,NA,NA,NA,NA,16.405430375003,2.79761240044889,0.13535720433031,-0.0023407071643523,0.241658175119581,0.000278504653105742,-0.241936679772686,16.405430375003
21644,"S6","NE","6-8","1",NA,"CCS (brown)","Core (parallel-centripetal)","Freehand",1.96,4,NA,"1","Rough","indeterminate",NA,NA,NA,16.27,16.31,6.03,NA,NA,NA,NA,11.6964196583739,2.45928278286765,-0.313978666384023,-0.30759545992394,0.330040138363292,0.332495633765268,-0.66253577212856,11.6964196583739
21768,"S6","SW","6-8","2",NA,"CCS (olive)","Core (Bipolar)","Bipolar",7.51,8,NA,"0",NA,"indeterminate",NA,NA,"Informal",25.22,16.21,11.68,NA,NA,NA,NA,16.8392849732983,2.82371454789481,-0.0490899923728647,0.0932211518529204,0.40392278264196,-0.0380862121472286,-0.365836570494732,16.8392849732983
21784,"S6","SW","6-8","2",NA,"CCS (light blue)","Core (Multidirectional)","Freehand",6.56,14,NA,"1","Smooth tabular","indeterminate",NA,NA,"Informal",24.52,21.23,11.37,NA,NA,NA,"Maybe have been used as a bipolar core at some point. Is pretty battered.",18.0888229601279,2.89529423151521,-0.108259106684986,-0.14221242700294,0.304194879552804,0.160121044199958,-0.464315923752762,18.0888229601279
21818,"S6","SW","6-8","2",NA,"CCS (blue/maroon)","Core (Bipolar)","Bipolar",3.38,15,NA,"1","Smooth tabular",NA,NA,NA,NA,21.6,13.71,9.6,NA,NA,NA,NA,14.1662253580329,2.65086063557938,-0.0789186928118383,0.0940694094677695,0.421832679110742,-0.0327351420051547,-0.389097537105587,14.1662253580329
21856,"S6","NW","6-8","2",NA,"CCS (grey)","Core (Bipolar)","Bipolar",7.86,20,NA,"0",NA,NA,NA,NA,NA,28.31,19.02,12.93,NA,NA,NA,NA,19.0948522497781,2.94941878300827,-0.0689618403189636,0.0551160978688988,0.393796316115535,-0.00392772589102868,-0.389868590224507,19.0948522497781
21871,"S6","NW","6-8","2",NA,"CCS (brown)","Core (Inclined)","Freehand",16.17,9,2,"0",NA,"trapezoidal","14.37","19.25","Levallois (Recurrent)",27.8,27.1,16.44,NA,NA,NA,"Hard to tell what's going on because there's so much calcareous sinter. Looks like it could have been used further though, via bipolar.",23.1369069511449,3.14142904607009,0.0589745204404991,-0.182340083962069,0.183606974626498,0.158104681815562,-0.34171165644206,23.1369069511449
21873,"S6","NW","6-8","2",NA,"Chalcedony","Core (Bipolar)","Bipolar",8.32,13,NA,"0",NA,"indeterminate",NA,NA,NA,27,16.22,12.48,NA,NA,NA,NA,17.6147465939199,2.86873642587763,-0.0369785947218283,0.146258342701113,0.427100440126703,-0.0824913771903589,-0.344609062936344,17.6147465939199
21881,"S6","NW","6-8","2",NA,"CCS (blue/maroon)","Core (Multidirectional)","Freehand",10.03,9,NA,"1","Smooth tabular","indeterminate",NA,NA,NA,29.21,14.67,16.76,NA,NA,NA,"Definitely started as an opposed platform core, then was made multidirectional.",19.293538900541,2.95977026786949,0.169131829646796,0.335683563377094,0.414740848530157,-0.273965675714602,-0.140775172815555,19.293538900541
21900,"S6","NW","6-8","2",NA,"CCS (olive)","Core (Bipolar)","Bipolar",5.77,15,0,"N/A",NA,"indeterminate",NA,NA,"Informal",23.5,16.32,13.38,NA,NA,NA,"May have been smashed bipolarlly a few times.",17.2483693480639,2.84771760846205,0.0976280048782534,0.0775715335650373,0.309282812688061,-0.0553262589260911,-0.25395655376197,17.2483693480639
21921,"S6","NW","6-8","2",NA,"CCS (olive/maroon)","Core (Multidirectional)","Freehand",30.12,14,NA,"0",NA,"indeterminate",NA,NA,NA,38.74,25.72,19.5,NA,NA,NA,"May have been knapped bipolarly a few times. Could also just be a lot of removals.",26.8836601937178,3.29151867430599,0.00985031390742509,0.0859708936333164,0.36535398367286,-0.0442497749365711,-0.321104208736289,26.8836601937178
21937,"S6","NW","6-8","2",NA,"CCS (olive)","Core (Bipolar)","Bipolar",6.62,11,NA,"N/A",NA,"indeterminate",NA,NA,"Informal",24.13,12.59,15.86,NA,NA,NA,"Was definitely some other kind of core beforehand… only evidence of a few bipolar removals.",16.8899648206482,2.82671964796663,0.268228148695934,0.335486903452701,0.356736231670308,-0.293816799910377,-0.0629194317599307,16.8899648206482
21982,"S6","NW","6-8","2",NA,"CCS (pink)","Core (parallel-bidirectional)","Freehand",2.39,8,NA,"0",NA,NA,NA,NA,"Bladelet (Flat)",20.1,11.83,7.29,NA,NA,NA,"May have been struck bipolarly a few times. Also has scraper-like use.",12.0125749429645,2.4859540130253,-0.223475399966403,0.108940272461119,0.514765802039732,-0.0153153350350022,-0.499450467004731,12.0125749429645
22090,"S6","NW","6-8","1",NA,"CCS (olive)","Core (parallel-bidirectional)","Freehand",16.37,16,NA,"N/A",NA,"circular/oval","18.25","9.14",NA,27.92,25.48,14.33,NA,NA,NA,NA,21.6830485720847,3.0765307834794,-0.0390769574757685,-0.161436896391243,0.252812494414767,0.161363047224558,-0.414175541639325,21.6830485720847
22116,"S6","NW","6-8","1",NA,"CCS (light blue)","Core (Bipolar)","Bipolar",18.41,9,NA,"N/A",NA,"indeterminate",NA,NA,NA,27.5,27.06,14.76,NA,NA,NA,"Lots of calcareous sinter. Massive bipolar scars.",22.2287793298198,3.10138781552916,-0.019127020717343,-0.211154214669289,0.212798189143361,0.196668807213477,-0.409466996356838,22.2287793298198
22179,"S6","NE","6-8","2",NA,"CCS (olive)","Core (Multidirectional)","Freehand",23.17,12,NA,"1","Rough","indeterminate",NA,NA,NA,35.07,24.09,17.06,NA,NA,NA,NA,24.3360747626722,3.19195980761413,-0.0238712037074352,0.0514907664701608,0.365386256537954,-0.0101629909873532,-0.3552232655506,24.3360747626722
22198,"S6","NE","6-8","2",NA,"CCS (light blue)","Core (parallel-bidirectional)","Freehand",28.91,13,NA,"1","Rough","indeterminate",NA,NA,"Blade",48.76,26.47,12.44,NA,NA,NA,"Possibly some bipolar removals along the side.",25.2277976870424,3.2279464693877,-0.483689300677585,0.0952311214149647,0.658963835225366,0.0480655468513054,-0.707029382076671,25.2277976870424
22254,"S6","NE","6-8","2",NA,"CCS (jasper)","Core (Bipolar)","Bipolar",3.68,NA,NA,"0",NA,"indeterminate",NA,NA,NA,15.55,12.87,12.48,NA,NA,NA,"Too battered to count the scars.",13.5677502878978,2.60769567439152,0.33207794508995,0.01454487353829,0.136364964233723,-0.0527966527834848,-0.0835683114502384,13.5677502878978
22304,"S6","NE","6-8","2",NA,"CCS (greyish blue)","Core (Multidirectional)","Freehand",11.01,8,NA,"0",NA,"indeterminate",NA,NA,"Informal",32.11,22.89,9.62,NA,NA,NA,"Has a bunch of mid-sized removals. Tabular. Eccailles retouch???",19.1934799530191,2.95457063558117,-0.412388893024909,-0.0848361872353371,0.514596872520251,0.176129498383304,-0.690726370903556,19.1934799530191
22334,"S6","NE","6-8","2",NA,"Chalcedony","Core (Bipolar)","Bipolar",6.65,10,NA,"1","Rough","indeterminate",NA,NA,NA,22.23,20.05,12.16,NA,NA,NA,NA,17.5655790755637,2.86594125275557,0.013370177111163,-0.138070041021873,0.235501475220537,0.13228790099701,-0.367789376217547,17.5655790755637
22463,"S5","SE","7","1",NA,"Chalcedony","Core (Multidirectional)","Freehand",48.91,7,NA,"2","Rough","indeterminate",NA,NA,NA,48.27,35.07,22.91,NA,NA,NA,NA,33.849016245455,3.5219099367633,-0.0545536545694804,0.00168356959660677,0.354900312909104,0.0354361273887892,-0.390336440297893,33.849016245455
22493,"S5","SE","7","1",NA,"Chalcedony","Core (Initial)","Freehand",7.12,3,NA,"2","Rough","indeterminate",NA,NA,NA,22.29,15.71,13.81,NA,NA,NA,"Lots of cortex - early stages of reduction.",16.9106373970071,2.8279428556955,0.161066876153306,0.0845378789608685,0.276195291702275,-0.0736454034279727,-0.202549888274302,16.9106373970071
22504,"S5","SE","7","1",NA,"CCS (olive)","Core (Multidirectional)","Freehand",50.33,9,1,"1","Smooth tabular","square/rectangular","34.26","20.29","Blade",40.25,41.23,26.64,NA,NA,NA,"Pretty big… definitely not exhausted.",35.3593668606732,3.56556333208519,0.137501085859807,-0.196688931790561,0.129546671779383,0.153602814633619,-0.283149486413001,35.3593668606732
22618,"S5","SE","7","1",NA,"CCS (light blue)","Core (Multidirectional)","Freehand",5.92,6,NA,"1","Rough","indeterminate",NA,NA,NA,23.71,16.09,11.64,NA,NA,NA,NA,16.4366582767428,2.7995141011283,-0.0142176001635761,0.0631247868946676,0.366382798949015,-0.0213161401240074,-0.345066658825008,16.4366582767428
22740,"S5","NW","6-8","2",NA,"CCS (brown)","Core (Multidirectional)","Freehand",17.41,13,NA,"0",NA,"indeterminate",NA,NA,NA,23.82,27.6,16.86,NA,NA,NA,"Maybe also BP",22.296471332649,3.10442842974132,0.16537959731116,-0.27937057753297,0.0660971341858314,0.213387342981782,-0.279484477167613,22.296471332649
22749,"S5","NW","6-8","2",NA,"CCS (other)","Core (Bipolar)","Bipolar",3.29,8,NA,"0",NA,"indeterminate",NA,NA,NA,20.05,12.44,11.23,NA,NA,NA,NA,14.0962903910809,2.64591166993799,0.10748902467408,0.163115498777631,0.35231748381459,-0.124994582626954,-0.227322901187636,14.0962903910809
22767,"S5","NW","6-8","2",NA,"CCS (olive)","Core (parallel-bidirectional)","Freehand",3.93,9,NA,"0",NA,"indeterminate",NA,NA,NA,22.46,14.71,11.44,NA,NA,NA,NA,15.5769640059659,2.7457931566251,0.0219029551868434,0.0993471443913762,0.365942792685199,-0.057265622011752,-0.308677170673446,15.576964005966
22789,"S5","NW","6-8","2",NA,"CCS (agate)","Core (Bipolar)","Bipolar",8.25,8,NA,"1","Rough","indeterminate",NA,NA,NA,19.9,20.59,14.56,NA,NA,NA,NA,18.1366441775133,2.89793443184623,0.214285750727367,-0.182494839391605,0.0927852998842182,0.12687108919347,-0.219656389077688,18.1366441775133
22949,"S5","SW","7","1",NA,"CCS (light blue)","Core (Multidirectional)","Freehand",11.37,16,NA,"1","Smooth tabular","indeterminate",NA,NA,NA,23.02,21.85,15.95,NA,NA,NA,NA,20.0188511012166,2.99667438468873,0.188885531203985,-0.126281651675122,0.139689018605007,0.0875265368528694,-0.227215555457876,20.0188511012166
23099,"S5","NW","7","1",NA,"CCS (grey)","Core (Multidirectional)","Freehand",31.27,6,NA,"1","Rough","indeterminate",NA,NA,NA,34.39,33.66,21.82,NA,NA,NA,NA,29.3404662697747,3.37896766453725,0.113482753448797,-0.17000677430261,0.158798159906922,0.137342524225407,-0.296140684132328,29.3404662697747
23168,"S5","NW","7","1",NA,"CCS (true blue)","Core (Multidirectional)","Freehand",15.14,9,NA,"0",NA,"indeterminate",NA,NA,NA,29.82,23.73,19.37,NA,NA,NA,"Quite nice",23.9319635485589,3.17521495240106,0.173732452887415,-0.0010694470720745,0.219964356935536,-0.00847488195338407,-0.211489474982152,23.9319635485589
23236,"S5","SW","6-8","1",NA,"CCS (greyish blue)","Core (Bipolar)","Bipolar",1.92,8,NA,"0",NA,"indeterminate",NA,NA,NA,8.83,16.51,8.87,NA,NA,NA,NA,10.8945793292181,2.3882653562898,0.343983295465469,-0.580671715505167,-0.210110341673929,0.415700901642239,-0.20559055996831,10.8945793292181
23298,"S5","SW","6-8","1",NA,"CCS (light blue)","Core (parallel-bidirectional)","Freehand",14.38,6,NA,"1","Smooth tabular","indeterminate",NA,NA,"Blade",35.43,21.91,14.62,NA,NA,NA,NA,22.4726161712159,3.11229750893546,-0.132018169962888,0.0982905825862753,0.455261409941918,-0.0253543553280873,-0.42990705461383,22.4726161712159
23420,"S5","SW","6-8","2",NA,"CCS (olive)","Core (Multidirectional)","Freehand",14.51,10,NA,"1","Smooth tabular","indeterminate",NA,NA,NA,33.51,23.68,14.91,NA,NA,NA,"Might be BP",22.7865157571786,3.12616894684722,-0.0997135033966895,0.009383391560748,0.385674954901995,0.0384618631685814,-0.424136818070577,22.7865157571786
23448,"S5","SW","6-8","2",NA,"CCS (light blue)","Core (Bipolar)","Bipolar",2.72,8,NA,"0",NA,"indeterminate",NA,NA,NA,15.09,10.59,9.87,NA,NA,NA,NA,11.6403878471043,2.45448076194615,0.204547653973955,0.0998913669081837,0.259551510833603,-0.0945706023328393,-0.164980908500764,11.6403878471043
23547,"S5","NE","6-8","1",NA,"Chalcedony","Core (Multidirectional)","Freehand",11.97,11,NA,"1",NA,"indeterminate",NA,NA,NA,29.35,23.42,12.36,NA,NA,NA,"Possibly BP",20.4050574734835,3.01578278549107,-0.167492813808266,-0.0988924730837062,0.363509760783032,0.137807572678498,-0.501317333461529,20.4050574734835
23990,"S5","NE","6-8","2",NA,"CCS (olive)","Core (Multidirectional)","Freehand",12.51,20,NA,"N/A",NA,"indeterminate",NA,NA,NA,29.9,19.61,17.71,NA,NA,NA,"May have some bp components",21.8167027466362,3.08267585746655,0.140237064565344,0.131553652522122,0.315182622930095,-0.106636217258291,-0.208546405671804,21.8167027466362
24071,"S5","NE","6-8","2",NA,"CCS (agate)","Core (Bipolar)","Bipolar",8.41,13,NA,"0",NA,"indeterminate",NA,NA,NA,21.16,15.92,17.14,NA,NA,NA,NA,17.9400306815167,2.88703456685866,0.358593361342904,0.0920384912673222,0.165078040131442,-0.119458386442419,-0.0456196536890225,17.9400306815167
