"Core length","Core width","Core thickness"
0.481939157045959,-0.0433612317145814,-0.438577925331378
0.494671902107065,-0.00587254173956528,-0.4887993603675
0.299145647166195,0.115199687885278,-0.414345335051474
0.614810473848813,-0.351945051951251,-0.262865421897562
0.303548428331978,0.0408860568418592,-0.344434485173838
0.527398093588644,-0.163881672796506,-0.363516420792137
0.586087297339101,-0.170608095159564,-0.415479202179538
0.358611233926257,0.0520860736729959,-0.410697307599252
0.14952473055803,0.186303982061326,-0.335828712619356
0.335872594295519,-0.0490878857856363,-0.286784708509882
0.39976113819977,-0.0293495884837421,-0.370411549716027
0.623755048933559,-0.22912743276094,-0.394627616172619
0.550082349977946,-0.17569494726395,-0.374387402713996
0.195673027401209,0.0840990917040597,-0.279772119105268
0.314825987056774,0.0820831022144879,-0.396909089271262
0.495159364322103,0.117191812926268,-0.612351177248371
0.184485206368271,-0.0104424725912624,-0.174042733777008
0.468293787213165,0.0423722695752285,-0.510666056788394
0.358562843407654,-0.079203209488832,-0.279359633918821
0.248184377097923,0.0215421483251149,-0.269726525423039
0.443669797672506,0.0787292420835934,-0.5223990397561
0.500935754727789,-0.124625388829948,-0.376310365897842
0.241658175119581,0.000278504653105742,-0.241936679772686
0.40392278264196,-0.0380862121472286,-0.365836570494732
0.421832679110742,-0.0327351420051547,-0.389097537105587
0.393796316115535,-0.00392772589102868,-0.389868590224507
0.427100440126703,-0.0824913771903589,-0.344609062936344
0.309282812688061,-0.0553262589260911,-0.25395655376197
0.356736231670308,-0.293816799910377,-0.0629194317599307
0.212798189143361,0.196668807213477,-0.409466996356838
0.136364964233723,-0.0527966527834848,-0.0835683114502384
0.235501475220537,0.13228790099701,-0.367789376217547
0.35231748381459,-0.124994582626954,-0.227322901187636
0.0927852998842182,0.12687108919347,-0.219656389077688
-0.210110341673929,0.415700901642239,-0.20559055996831
0.259551510833603,-0.0945706023328393,-0.164980908500764
0.165078040131442,-0.119458386442419,-0.0456196536890225
